url_length,has_https,num_dots,has_ip,num_hyphens,num_slashes,has_at,has_subdomain,label
24,1,1,0,0,3,0,0,1
21,0,1,0,0,3,0,0,1
17,0,1,0,0,3,0,0,1
51,1,2,0,7,3,0,0,1
43,0,2,0,1,3,0,0,1
39,1,2,0,1,4,0,0,1
21,1,1,0,0,3,0,0,1
73,1,1,0,1,4,0,0,1
36,1,2,0,0,4,0,0,1
45,0,2,0,1,3,0,0,1
21,1,1,0,0,3,0,0,1
30,0,2,0,0,3,0,0,1
30,0,2,0,0,3,0,0,1
37,1,2,0,0,4,0,0,1
80,1,1,0,0,4,0,0,1
55,1,2,0,9,3,0,0,1
58,1,2,0,9,3,0,0,1
50,1,2,0,6,3,0,0,1
53,1,2,0,5,3,0,0,1
43,1,2,0,3,3,0,0,1
55,1,2,0,5,3,0,0,1
54,1,2,0,6,3,0,0,1
52,1,2,0,7,3,0,0,1
55,1,2,0,9,3,0,0,1
